"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"829";"Schopenhauerstraße";"";"5";"6";"5";"5";"6";"";"47447"
"830";"Schubertstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"831";"Schulstraße";"";"6";"1";"3";"9";"1";"";"47447"
"832";"Schulze-Delitzsch-Straße";"";"3";"9";"14";"10";"9";"";"47445"
"833";"Schürkampsweg";"";"4";"4";"20";"10";"4";"";"47445"
"834";"Schustergasse";"";"3";"6";"8";"9";"6";"";"47441"
"835";"Schwafheimer Weg";"";"6";"2";"1";"4";"2";"";"47447"
"836";"Schwalbenstraße";"";"3";"2";"12";"9";"2";"";"47506,47441"
"837";"Schwanenring";"";"3";"2";"8";"9";"2";"";"47441"
"838";"Schwanstraße";"";"4";"9";"18";"10";"9";"";"47445"
"839";"Schwarzer Weg";"";"1";"3";"6";"4";"3";"";"47447"
"840";"Sedanstraße";"";"5";"6";"5";"8";"6";"";"47441"
"841";"Seeweg";"";"1";"3";"2";"3";"3";"";"47447"
"842";"Seidelbastweg";"";"8";"4";"11";"6";"4";"";"47445"
"843";"Seilstraße";"";"9";"7";"16";"7";"7";"";"47443"
"844";"Seitenstraße";"";"2";"10";"10";"2";"10";"";"47443"
"845";"Selma-Lagerlöf-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"846";"Seminarstraße";"";"3";"6";"17";"8";"6";"";"47441"
"847";"Siedweg";"";"1";"3";"2";"3";"3";"";"47447,47441"
"849";"Siegfriedstraße";"";"2";"10";"10";"2";"10";"";"47443"
"850";"Siegstraße";"";"9";"7";"16";"7";"7";"";"47443"
"851";"Siemensweg";"";"5";"6";"5";"5";"6";"";"47447"
"852";"Silberseeweg";"";"6";"1";"3";"9";"1";"";"47447"
"853";"Sittardsweg";"";"1";"2";"1";"4";"2";"";"47447"
"854";"Skirenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"855";"Sonnenring";"";"2";"8";"11";"1";"8";"";"47443"
"856";"Sophienstraße";"";"6";"1";"3";"9";"1";"";"47447"
"857";"Spechtweg";"";"3";"2";"12";"9";"2";"";"47441"
"858";"Sperberweg";"";"3";"2";"12";"9";"2";"";"47441"
"859";"Sperlingsweg";"";"3";"2";"8";"9";"2";"";"47506,47441"
"860";"Spichernstraße";"";"5";"6";"5";"8";"6";"";"47447"
"861";"Spitzwegstraße";"";"1";"3";"2";"4";"3";"";"47447"
"862";"Spreestraße";"";"6";"1";"3";"9";"1";"";"47447"
"863";"Stappfeldstraße";"";"8";"4";"20";"6";"4";"";"47445"
"864";"Starenweg";"";"3";"2";"8";"9";"2";"";"47441"
"865";"Staufenstraße";"";"8";"4";"11";"6";"4";"";"47445"
"866";"Stefanstraße";"";"10";"5";"13";"3";"5";"";"47441"
"868";"Steinbrückenstraße";"";"3";"1";"12";"9";"1";"";"47441"
"869";"Steinstraße";"";"3";"6";"8";"9";"6";"";"47441"
"870";"Sternstraße";"";"4";"4";"20";"10";"4";"";"47445"
"871";"Steubenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"872";"Stoberstraße";"";"2";"8";"10";"1";"8";"";"47443"
"873";"Stormstraße";"";"4";"9";"20";"10";"9";"";"47445"
"874";"Stufenweg";"";"1";"3";"6";"4";"3";"";"47447"
"875";"Südring";"";"5";"6";"5";"8";"6";"";"47441"
"876";"Südstraße";"";"1";"6";"1";"5";"6";"";"47441"
"877";"Talstraße";"";"4";"9";"18";"10";"9";"";"47445"
"878";"Tannenbergstraße";"";"2";"10";"15";"5";"10";"";"47443"
"879";"Tannenstraße";"";"1";"2";"1";"4";"2";"";"47447"
"880";"Taubenstraße";"";"2";"8";"11";"1";"8";"";"47443"
"881";"Taxusweg";"";"3";"2";"14";"10";"2";"";"47441"
"882";"Tersteegenstraße";"";"5";"6";"2";"5";"6";"";"47441,47506"
"883";"Tervoorter Waldweg";"";"3";"4";"14";"10";"4";"";"47445"
"884";"Tervoortstraße";"";"8";"4";"11";"6";"4";"";"47445"
"885";"Teutonenstraße";"";"5";"6";"1";"5";"6";"";"47441"
"886";"Theodor-Heuss-Straße";"";"7";"4";"12";"6";"4";"";"47445"
"887";"Thomas-Edison-Straße";"";"3";"9";"14";"6";"9";"";"47445"
"888";"Thomas-Igl-Straße";"";"3";"2";"12";"9";"2";"";"47441"
"889";"Thymianweg";"";"8";"4";"11";"6";"4";"";"47445"
"890";"Tilsiter Straße";"";"7";"9";"10";"6";"9";"";"47445"
"891";"Timmermansstraße";"";"4";"9";"20";"10";"9";"";"47445"
"892";"Tirgrathsfeldweg";"";"1";"2";"1";"4";"2";"";"47447"
"893";"Titusstraße";"";"10";"5";"4";"3";"5";"";"47441"
"894";"Tonstraße";"";"10";"5";"7";"3";"5";"";"47441"
"895";"Torallee";"";"6";"2";"1";"4";"2";"";"47447"
"896";"Trajanstraße";"";"9";"8";"9";"7";"8";"";"47443"
"897";"Trakehnenstraße";"";"8";"4";"10";"6";"4";"";"47445"
"898";"Trebnitzer Straße";"";"2";"8";"10";"1";"8";"";"47443"
"899";"Treibweg";"";"2";"10";"15";"2";"10";"";"47443"
"901";"Trompeter Straße";"";"1";"3";"1";"3";"3";"";"47441"
"902";"Tucheler Weg";"";"8";"4";"10";"6";"4";"";"47445"
"903";"Tulpenstraße";"";"6";"1";"3";"9";"1";"";"47447"
"904";"Uerdinger Straße";"";"5";"6";"2";"8";"6";"";"47441"
"906";"Uhlandstraße";"";"8";"7";"15";"1";"7";"";"47445"
"907";"Ulmenstraße";"";"1";"2";"1";"4";"2";"";"47447"
"908";"Ulrich-von-Hutten-Straße";"";"8";"7";"15";"1";"7";"";"47445"
"909";"Universumplatz";"";"2";"8";"11";"1";"8";"";"47443"
"910";"Unter den Erlen";"";"2";"10";"10";"2";"10";"";"47443"
"911";"Unter den Kiefern";"";"2";"10";"10";"2";"10";"";"47443"
"912";"Unter den Platanen";"";"3";"2";"12";"9";"2";"";"47441"
"913";"Unterwallstraße";"";"3";"6";"8";"8";"6";"";"47441"
"914";"Uranusring";"";"2";"8";"11";"1";"8";"";"47443"
"915";"Van-Endert-Weg";"";"8";"4";"10";"6";"4";"";"47445"
"916";"Veilchenweg";"";"6";"1";"3";"9";"1";"";"47447"
"917";"Veit-Stoß-Straße";"";"1";"3";"2";"3";"3";"";"47447"
"918";"Venloer Straße";"";"5";"1";"12";"9";"1";"";"47447,47441"
"920";"Venusweg";"";"2";"8";"11";"1";"8";"";"47443"
"921";"Vereinsstraße";"";"1";"3";"6";"4";"3";"";"47447"
"922";"Verholzerhof";"";"6";"1";"3";"9";"1";"";"47447"
"923";"Vichter Acker";"";"7";"9";"5";"6";"9";"";"47445"
"924";"Vierbaumer Weg";"";"8";"4";"20";"6";"4";"";"47445"
"926";"Viertelsheideweg";"";"1";"2";"1";"4";"2";"";"47447"
