Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Karlstraße;7;6;13;2;6;Di
Karolingerstraße;8;10;19;6;10;
Kastanienstraße;6;2;1;5;2;
Kastell (*2);3;3;8;3;3;Mi
Katharinenstraße;6;1;3;5;1;
Käthe-Kollwitz-Straße;4;9;20;6;9;Fr
Kattlachstraße;10;10;20;6;10;
Kattowitzer Straße;5;7;10;4;7;Mo
Katzbachstraße;5;7;10;4;7;
Kautzstraße;3;3;17;3;3;Mi
Keltenstraße (*1);8;10;19;6;10;Do
Kendelstraße;1;4;6;3;4;
Keplerstraße;2;3;5;2;3;
Kerrygoldstraße  (Neukirchen-Vluyn);4;10;14;3;10;
Kiebitzweg;4;9;20;6;9;
Kiefernkamp;8;10;19;6;10;
Kiefernweg;6;2;1;5;2;
Kieselweg;7;5;7;2;5;
Kimbernstraße;8;10;19;6;10;
Kirchfeld;3;3;16;1;3;
Kirchstraße (*3);3;3;8;3;3;S1
Kirchweg;1;4;6;3;4;Do
Kirschenallee;9;7;9;1;7;Mo
Klapdorsweg;6;1;3;5;1;
Kleestraße;5;6;10;4;6;
Kleine Allee;3;3;8;3;3;Mi
Kleiststraße;8;10;15;4;10;Do
Klever Platz;9;8;9;1;8;Mo
Klever Straße;3;3;16;1;3;Mi
Klodnitzstraße;5;7;10;4;7;
Klosterstraße (*3);3;3;8;3;3;S1
Knappenstraße;9;8;9;1;8;Mo
Knappschaftstraße;9;3;16;3;3;Mi
Kohlenhucker Weg;10;10;20;6;10;
Kohlenstraße;5;7;12;1;7;
Kometenstraße;5;7;12;4;7;
Königsberger Straße;9;6;7;1;6;Mo
Konrad-Adenauer-Straße;10;9;11;6;9;Do
Konradstraße;7;3;4;2;3;Di
Konrad-Zuse-Straße;8;10;15;1;10;Mi
Konstantinstraße;7;5;13;2;5;
Kopernikusstraße;10;9;11;6;9;Fr
Korneliusstraße;2;3;4;2;3;
Körnerstraße (*1);8;10;15;6;10;Do
Kornstraße;5;6;10;4;6;Di
Kranichstraße;3;2;8;3;2;Fr
Kranzerhof;6;1;3;5;1;
Krefelder Straße (*1) von Nr. 1-97 und 2-40;3;2;14;3;2;Fr
Krefelder Straße (*1) von Nr. 99-Ende und 42-Ende;6;2;14;5;2;Fr
Kressenstraße;8;10;19;6;10;
Kronenstraße;9;7;9;1;7;
Kronprinzenstraße;7;5;13;2;5;Mo
Kuckucksweg;4;9;18;6;9;
Kühlerstraße;4;9;20;6;9;Fr
Kuhlmannstraße;4;9;18;6;9;Fr
Küppersweg;6;3;1;5;3;
Kurlandstraße;10;9;11;6;9;Fr
Kurt-Schumacher-Allee (*2);10;9;11;6;9;S3
Kurt-Tucholsky-Straße;6;1;3;5;1;Di
Kurze Straße;2;3;4;2;3;Di
Laakweg;1;4;6;3;4;
Landwehrstraße;3;3;16;3;3;Mi
Lange Straße;4;9;18;6;9;
Länglingsweg;1;4;2;3;4;Do
Lärchenweg;6;2;1;5;2;Di
Latenweg;10;9;11;6;9;
Lauersforter Straße;6;2;1;5;2;
Lauersforter Waldweg;6;2;1;5;2;
Lauffstraße;4;9;18;3;9;Fr
Lavendelstraße;8;10;19;6;10;
Lehmbruckstraße;1;4;2;3;4;
Leibnizstraße;2;3;5;2;3;Mi
Leinestraße;6;1;3;5;1;
Leipziger Straße;2;4;4;3;4;Mi
Leissstraße;9;8;9;1;8;
Lerchenstraße;3;2;8;3;2;
Lerschstraße;4;9;18;6;9;Fr
Lessingstraße;8;10;15;6;10;
Leuschnerstraße;4;9;18;6;9;Fr
Liebigstraße;2;3;5;2;3;
Liebrechtstraße (*1);8;10;19;6;10;Do
Liegnitzer Weg;8;10;19;6;10;
Lilienweg;6;1;3;5;1;
Lindenstraße;9;8;9;1;8;Mo
Linnbruchweg;6;1;3;5;1;
Lintforter Straße (*1);4;9;18;3;9;Fr
Lippestraße;9;8;9;1;8;Mo
Lobelienweg;6;1;3;5;1;
Lockertstraße;7;5;4;2;5;Mo
Lohestraße;5;7;10;4;7;
Lortzingstraße;6;1;3;5;1;Di
Lotharstraße;9;6;9;1;6;Mo
Ludwig-Erhard-Straße;10;5;11;6;5;Do
Ludwig-Richter-Ring;1;4;2;3;4;Do
Ludwigstraße;6;1;3;5;1;
Luisenstraße;5;7;12;4;7;
Luiter Straße;6;1;3;5;1;
Lupinenweg;6;1;3;5;1;
Lützstraße;5;7;10;4;7;
Magnolienweg;4;9;20;6;9;
Maiblumenstraße;6;1;3;5;1;
Mainstraße;9;8;9;1;8;Mo
Malmedyer Straße;9;8;9;1;8;Mo
Malvenstraße;8;10;19;6;10;
Marc-Aurel-Straße;7;3;4;2;3;
Marderweg;7;5;13;2;5;Di
Margarethenstraße;1;4;6;3;4;
Maria-Djuk-Straße (*1);1;4;6;3;4;Do
Maria-Juchacz-Straße;10;9;11;6;9;
Marienburger Straße;9;8;9;1;8;Mo
Marienstraße;6;1;3;5;1;
Markt;4;10;18;6;10;Do
Marktstraße;8;10;19;6;10;Do
Marsweg;5;7;12;4;7;
Martin-Luther-Ring;1;4;6;3;4;Do
Martinstraße;7;3;4;2;3;Di
