_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
431;Homberger Straße (111-205 und 122-208);7;6;13;2;6;
432;Homberger Straße (207 / 240 bis Ende);7;6;13;2;6;
433;Hopfenstraße;2;3;17;3;3;
434;Horstmannsweg;4;9;14;3;9;
435;Hourtenhofstraße;4;9;18;4;9;
436;Hubertusstraße;3;2;8;3;2;
437;Huckstraße;10;10;20;4;10;
438;Hügelstraße;1;4;6;2;4;
439;Hugostraße;7;5;13;2;5;
440;Hülsdonker Straße;3;2;14;3;2;
441;Hülshorstweg;6;1;14;6;1;
442;Hülskensweg;6;1;3;6;1;
443;Humboldtstraße;2;3;5;3;3;
444;Illbrucksweg;6;1;1;6;1;
445;Illerstraße;6;1;3;6;1;
446;Im Angerfeld;8;10;19;5;10;
447;Im Binnefeld;10;10;19;5;10;
448;Im Boschfeld;8;10;19;5;10;
449;Im Bruch;7;6;7;2;6;
450;Im Bruckschefeld;6;1;3;6;1;
451;Im Felde;10;9;11;4;9;
452;Im Grünen Winkel;9;6;7;1;6;
453;Im Hackerfeld;1;5;4;2;5;
454;Im Haselbusch;6;1;14;6;1;
455;Im Hochfeld;10;10;20;4;10;
456;Im Kämpken;7;6;7;2;6;
457;Im Krähenfeld;10;10;20;4;10;
458;Im Kuhfeld;1;4;6;2;4;
459;Im Meerfeld;10;9;11;4;9;
460;Im Moerser Feld;3;10;14;1;10;
461;Im Niederfeld;10;9;11;4;9;
462;Im Ohl;2;3;5;3;3;
463;Im Rehwinkel;9;8;15;5;8;
464;Im Repelener Feld;10;9;11;4;9;
465;Im Rheinkamper Feld;10;9;11;4;9;
466;Im Ring;10;9;11;4;9;
467;Im Rosenthal;3;3;8;3;3;
468;Im Schommer;8;8;15;5;8;
469;Im Schroersfeld;3;2;14;3;2;
470;Im Schwarzen Bruch;6;1;3;6;1;
471;Im Utforter Feld;8;10;19;5;10;
472;Im Weidekamp;6;2;1;6;2;
473;Im Weißen Hag;10;9;11;4;9;
474;Im Winkel;6;2;1;6;2;
475;In den Gärten;6;1;3;6;1;
476;In den Weiden;3;2;14;3;2;
477;In der Dong;4;9;14;3;9;
